1,Laundry Basket,Plastic,7.50,Laundry,60
2,Cotton Bath Towel,Cotton,5.90,Bathroom,180
3,Clothes Hanger Set,Plastic,2.20,Storage,250
4,Iron Board,Metal,22.00,Laundry,25
5,Vacuum Cleaner,Plastic,49.90,Electronics,15
6,Electric Kettle,Stainless Steel,18.50,Kitchen,40
7,Door Mat,Rubber,4.30,Hallway,90
8,Shower Curtain,Polyester,6.10,Bathroom,110
9,Storage Box,Plastic,3.40,Storage,200
10,Bed Pillow,Textile,7.80,Bedroom,120
11,Blanket,Fleece,12.50,Bedroom,75
12,Wall Clock,Metal,8.90,Decor,50
13,Table Lamp,Plastic,13.20,Lighting,45
14,LED Bulb,Plastic,2.50,Lighting,300
15,Dustpan & Brush Set,Plastic,1.80,Cleaning,180
16,Broom,Wood,2.70,Cleaning,160
17,Laundry Detergent Bottle,Plastic,6.90,Cleaning,90
18,Food Container Set,Plastic,4.20,Kitchen,140
19,Cutting Board,Wood,5.10,Kitchen,70
20,Trash Bin,Plastic,7.00,Cleaning,60
21,Bathroom Organizer,Plastic,3.60,Bathroom,100
22,Kitchen Towel,Cotton,1.40,Kitchen,220
23,Oven Mitt,Cotton,2.10,Kitchen,160
24,Curtains,Textile,9.40,Bedroom,50
25,Picture Frame,Wood,3.80,Decor,85
26,Room Diffuser,Glass,6.70,Decor,65
27,Lamp Shade,Textile,5.40,Lighting,40
28,Extension Cord,Plastic,4.80,Electronics,70
29,Power Strip,Plastic,6.20,Electronics,60
30,Shampoo Rack,Metal,5.60,Bathroom,55
31,Soap Dispenser,Plastic,2.90,Bathroom,190
32,Toothbrush Holder,Plastic,1.20,Bathroom,200
33,Bedside Rug,Cotton,8.30,Bedroom,40
34,Decorative Vase,Glass,7.40,Decor,50
35,Cooking Pot,Stainless Steel,19.00,Kitchen,45
36,Frying Pan,Aluminum,14.20,Kitchen,50
37,Tea Storage Tin,Metal,3.10,Kitchen,110
38,Broom Holder,Plastic,2.70,Cleaning,95
39,Book Stand,Wood,6.80,Office,35
40,Office Storage Tray,Plastic,2.90,Office,120
41,Porcelain Dinner Plate,Porcelain,5.99,Plate,120
42,Glass Water Cup,Glass,2.49,Cup,200
43,Stainless Steel Fork,Stainless Steel,1.20,Utensil,350
44,Stainless Steel Knife,Stainless Steel,1.50,Utensil,340
45,Stainless Steel Spoon,Stainless Steel,1.10,Utensil,360
46,Ceramic Soup Bowl,Ceramic,4.80,Bowl,150
47,Bamboo Chopsticks,Bamboo,0.60,Utensil,500
48,Crystal Wine Glass,Crystal,8.90,Cup,80
49,Plastic Salad Bowl,Plastic,1.75,Bowl,190
50,Porcelain Tea Cup,Porcelain,3.30,Cup,160
51,Sauce Dish,Ceramic,1.40,Small Dish,220
52,Glass Pitcher,Glass,6.50,Serving Item,95
53,Metal Serving Tray,Aluminum,7.25,Serving Item,70
54,Stoneware Pasta Bowl,Stoneware,5.40,Bowl,130
55,Glass Dessert Plate,Glass,2.00,Plate,210
56,Ceramic Mug,Ceramic,3.10,Cup,180
57,Melamine Plate,Melamine,2.30,Plate,260
58,Porcelain Soup Plate,Porcelain,4.20,Plate,140
59,Ceramic Teapot,Ceramic,9.80,Serving Item,55
60,Glass Carafe,Glass,5.60,Serving Item,90
61,Stainless Steel Ladle,Stainless Steel,2.40,Utensil,110
62,Serving Spoon,Stainless Steel,2.10,Utensil,115
63,Wooden Cutting Board,Wood,6.30,Preparation Tool,75
64,Porcelain Serving Bowl,Porcelain,7.90,Bowl,85
65,Plastic Kids Cup,Plastic,1.10,Cup,240
66,Glass Coffee Cup,Glass,2.90,Cup,150
67,Bamboo Serving Tray,Bamboo,4.40,Serving Item,70
68,Metal Soup Spoon,Stainless Steel,1.30,Utensil,300
69,Ceramic Dessert Bowl,Ceramic,3.60,Bowl,170
70,Stoneware Plate,Stoneware,4.70,Plate,140
